,dev,train,uuas,limit,slavic
0,pl,zh,0.5965767399682612,3996,False
1,pl,be,0.7610896999924431,10000,True
4,pl,slk,0.7559888158391899,5000,True
5,pl,slv,0.753230559963727,5000,True
6,pl,slv,0.7540240308320109,5000,True
7,pl,uk,0.7734073906143731,5000,True
8,pl,zh,0.6020932517191869,3996,False
9,pl,be,0.7635078969243557,10000,True
10,pl,be,0.7620343081689716,10000,True
13,pl,pl,0.8451220433764075,17722,True
14,pl,be,0.7244389027431422,5000,True
15,pl,be,0.7231164512960024,5000,True
16,pl,cs,0.7459004005138669,5000,True
17,pl,cs,0.7555731882415174,5000,True
18,pl,cs,0.7646036424091287,5000,True
19,pl,de,0.7471850676339454,5000,False
20,pl,de,0.74200861482657,5000,False
21,pl,de,0.7433688506007708,5000,False
22,pl,en,0.7071714652762034,5000,False
23,pl,en,0.71404821280133,5000,False
24,pl,en,0.710987682309378,5000,False
25,pl,es,0.720773823018212,5000,False
26,pl,es,0.7239854908184086,5000,False
27,pl,es,0.7237210005289806,5000,False
28,pl,fi,0.6696516285044963,5000,False
29,pl,fi,0.6560492707624878,5000,False
30,pl,fi,0.6653442152195269,5000,False
31,pl,fr,0.7299554144940679,5000,False
32,pl,fr,0.7332426509483866,5000,False
33,pl,fr,0.7305221793999849,5000,False
34,pl,id,0.6717297664928588,4481,False
35,pl,id,0.6795133378674526,4481,False
36,pl,id,0.6763772387213783,4481,False
37,pl,lv,0.6842363787500945,5000,False
38,pl,lv,0.687485830877352,5000,False
39,pl,lv,0.6879770271291469,5000,False
40,pl,pl,0.7994030076324341,5000,True
41,pl,pl,0.7871986699916874,5000,True
42,pl,pl,0.7938487115544473,5000,True
43,pl,ru,0.7698934481976876,5000,True
44,pl,ru,0.757122345651024,5000,True
45,pl,ru,0.7692511146376483,5000,True
46,pl,slk,0.7548175017002947,5000,True
47,pl,slk,0.7550442076626616,5000,True
48,pl,slv,0.7631678379808056,5000,True
49,pl,uk,0.7707247033930326,5000,True
50,pl,uk,0.774465351772085,5000,True
51,pl,zh,0.6018665457568201,3996,False
52,pl,be,0.7642257991385173,10000,True
53,pl,cs,0.7869719640293207,10000,True
54,pl,pl,0.8456888082823245,17722,True
55,pl,pl,0.3887629411320184,100,True
56,pl,pl,0.8360538048817351,10000,True
57,pl,pl,0.7991763016700673,5000,True
58,pl,cs,0.7804352754477443,10000,True
59,pl,en,0.7330159449860199,10000,False
60,pl,lv,0.7290485906446006,12520,False
61,pl,zh,0.6116904707927152,3996,False
62,pl,es,0.741177359631225,10000,False
63,pl,lv,0.7239099221642863,10000,False
64,pl,slv,0.7833446686314517,10000,True
65,pl,slk,0.7703846444494824,8482,True
66,pl,uk,0.7787349807299933,5495,True
67,pl,ru,0.789881357213028,10000,True
68,pl,de,0.7600695231617924,10000,False
69,pl,fi,0.6904330083881206,10000,False
70,pl,be,0.7638101715408449,10000,True
71,pl,fr,0.7494143429305524,10000,False
72,pl,fi,0.6947026373460289,12215,False
73,pl,id,0.6762638857401949,4481,False
74,pl,be,0.7166175470414872,5000,True
75,pl,cs,0.7568956396886571,5000,True
76,pl,de,0.7362276127862163,5000,False
77,pl,en,0.7161641351167536,5000,False
78,pl,es,0.7206604700370286,5000,False
79,pl,fi,0.6879770271291469,10000,False
80,pl,fi,0.6569560946119549,5000,False
81,pl,cs,0.8112295020025694,68494,True
82,pl,fr,0.7298042771858233,5000,False
83,pl,id,0.6718809038011033,4481,False
84,pl,lv,0.6840096727877276,5000,False
85,pl,ru,0.7714803899342553,5000,True
86,pl,slk,0.7544774427567446,5000,True
87,pl,slv,0.762185445477216,5000,True
88,pl,uk,0.7681931534799366,5000,True
89,pl,zh,0.5955187788105494,3996,False
90,pl,pl,0.5754175168140255,1000,True
91,pl,pl,0.7586337187334694,2500,True
92,pl,be,0.7366810247109499,5000,True
93,pl,cs,0.7600695231617924,5000,True
94,pl,de,0.7398549081840853,5000,False
95,pl,en,0.7112143882717449,5000,False
96,pl,es,0.7227008236983299,5000,False
97,pl,fi,0.6486057583314441,5000,False
98,pl,fr,0.7276127862162775,5000,False
99,pl,id,0.673203355248243,4481,False
100,pl,lv,0.6980654424544699,5000,False
101,pl,pl,0.7989118113806393,5000,True
102,pl,ru,0.7583314441169803,5000,True
103,pl,slk,0.7508879316859367,5000,True
104,pl,slv,0.7553842666062117,5000,True
105,pl,uk,0.774465351772085,5000,True
106,pl,zh,0.5936295624574927,3996,False
107,pl,be,0.7314290032494521,5000,True
108,pl,cs,0.7796795889065216,10000,True
109,pl,cs,0.781190961988967,10000,True
110,pl,cs,0.7803974911206831,10000,True
111,pl,de,0.7641502304843951,10000,False
112,pl,de,0.7586337187334694,10000,False
113,pl,de,0.763847955867906,10000,False
114,pl,de,0.7600317388347314,10000,False
115,pl,en,0.736152044132094,10000,False
116,pl,en,0.7372477896168669,10000,False
117,pl,en,0.7343761807602207,10000,False
118,pl,en,0.7396659865487796,10000,False
119,pl,es,0.7399682611652686,10000,False
120,pl,es,0.7385324567369456,10000,False
121,pl,es,0.743973399833749,10000,False
122,pl,es,0.7399304768382076,10000,False
123,pl,fi,0.6915287538728935,10000,False
124,pl,fi,0.6959495201390463,10000,False
125,pl,fi,0.6915287538728935,10000,False
126,pl,fr,0.7522481674601376,10000,False
127,pl,fr,0.7520592458248319,10000,False
128,pl,fr,0.7522859517871987,10000,False
129,pl,fr,0.7497921862011637,10000,False
130,pl,id,0.6766039446837452,4481,False
131,pl,id,0.6701428247562911,4481,False
132,pl,id,0.6711630015869418,4481,False
133,pl,id,0.667611274843195,4481,False
134,pl,lv,0.7190357439733999,10000,False
135,pl,lv,0.7276505705433386,10000,False
136,pl,lv,0.7230408826418802,10000,False
137,pl,lv,0.7230786669689413,10000,False
138,pl,pl,0.8335978236227612,10000,True
139,pl,pl,0.8351091967052067,10000,True
140,pl,pl,0.8327287841003552,10000,True
141,pl,pl,0.8331066273709665,10000,True
142,pl,ru,0.7851583163303861,10000,True
143,pl,ru,0.786783042394015,10000,True
144,pl,ru,0.7875765132622988,10000,True
145,pl,ru,0.7858762185445477,10000,True
